satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,left,promotion_last_5years,department,salary
0.7,0.59,middle,138,middle,0,0,0,RandD,low
0.72,0.7,middle,238,short,0,0,0,management,low
0.91,0.97,many,183,middle,0,0,0,support,low
0.21,0.85,many,285,long,0,0,0,sales,medium
0.6,0.95,many,164,long,0,0,0,sales,medium
0.63,0.59,many,249,short,0,0,0,technical,low
0.9,0.97,many,239,long,0,0,0,technical,medium
0.77,0.76,many,263,long,0,0,0,sales,low
0.63,0.52,many,209,long,1,0,0,RandD,low
0.62,0.51,middle,222,middle,1,0,0,technical,medium
0.22,0.49,many,218,long,0,0,0,marketing,low
0.74,0.72,many,176,middle,0,0,0,sales,low
0.61,0.77,many,232,long,0,0,0,sales,medium
0.75,0.92,middle,160,middle,1,0,0,technical,medium
0.16,0.78,many,280,long,0,0,0,technical,high
0.48,0.51,many,286,middle,0,0,0,management,low
0.75,1,many,222,short,1,0,0,accounting,high
0.98,0.77,many,144,long,0,0,0,technical,medium
0.98,0.44,many,154,long,1,0,0,sales,medium
0.9,0.74,middle,185,short,0,0,0,marketing,medium
0.58,0.86,many,271,middle,0,0,0,IT,low
0.67,0.58,middle,246,middle,0,0,0,technical,medium
0.73,0.67,little,139,long,0,0,0,sales,medium
0.68,0.53,middle,138,short,1,0,0,sales,low
0.7,0.89,many,214,short,0,0,0,sales,low
0.98,0.83,many,211,middle,0,0,0,support,medium
0.58,0.94,many,274,middle,0,0,0,RandD,medium
0.93,0.98,many,189,middle,0,0,0,RandD,medium
0.66,0.83,many,266,middle,1,0,0,technical,medium
0.66,0.58,middle,157,short,0,0,0,support,medium
0.5,0.95,many,194,middle,0,0,0,sales,low
0.7,0.66,many,168,middle,0,0,0,technical,low
0.53,1,middle,164,long,0,0,0,IT,medium
0.97,0.96,middle,212,middle,0,0,0,sales,low
0.91,0.9,many,174,middle,0,0,0,support,low
0.88,0.98,middle,160,short,0,0,0,product_mng,medium
0.68,0.74,many,215,middle,0,0,0,accounting,low
0.71,0.97,middle,189,middle,1,0,0,technical,high
0.53,0.7,many,243,middle,0,0,0,technical,low
0.79,0.82,many,158,short,0,0,0,support,low
0.59,0.6,middle,214,short,1,0,0,product_mng,low
0.93,0.89,middle,262,short,0,0,0,sales,low
0.92,0.55,middle,172,short,0,0,0,technical,high
0.98,0.68,many,171,middle,0,0,0,management,high
0.59,0.75,little,156,middle,0,0,0,technical,medium
0.95,0.77,many,213,middle,1,0,0,sales,low
0.59,0.55,many,235,short,0,0,0,IT,medium
0.81,0.83,middle,177,short,0,0,0,sales,medium
0.77,0.71,many,250,middle,1,0,0,sales,medium
0.27,0.6,many,205,long,1,0,0,technical,low
0.79,0.87,middle,194,short,0,0,0,technical,medium
0.45,0.75,little,246,short,0,0,0,product_mng,medium
0.49,0.86,many,235,long,0,0,0,technical,low
0.67,0.7,middle,149,middle,0,0,0,support,low
0.23,0.5,many,100,middle,0,0,0,sales,medium
0.81,0.49,little,205,long,1,0,0,sales,low
0.24,0.95,middle,168,long,0,0,0,IT,medium
0.9,0.62,many,236,long,0,0,0,technical,medium
0.36,0.69,middle,98,short,0,0,0,sales,low
0.69,0.9,middle,185,long,0,0,0,product_mng,low
0.56,0.63,many,204,long,0,0,0,marketing,medium
0.56,0.64,many,241,middle,1,0,0,support,medium
0.48,0.61,little,121,short,0,0,0,RandD,medium
0.23,0.87,many,258,long,1,0,0,accounting,high
0.67,0.57,little,234,long,0,0,0,management,low
0.91,0.77,middle,144,middle,0,0,0,sales,medium
0.63,0.93,middle,236,long,0,0,0,sales,high
0.14,0.76,many,142,long,0,0,0,management,high
0.63,0.86,many,271,middle,1,0,0,support,medium
0.65,0.82,many,265,middle,0,0,0,IT,low
