satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,left,promotion_last_5years,department,salary
0.41,0.5,little,153,middle,0,1,0,sales,low
0.42,0.53,little,142,middle,0,1,0,sales,low
0.45,0.54,little,135,middle,0,1,0,sales,low
0.84,0.92,many,234,long,0,1,0,sales,low
0.41,0.55,little,148,middle,0,1,0,sales,low
0.45,0.47,little,160,middle,0,1,0,sales,low
0.11,0.83,many,282,long,0,1,0,sales,low
0.38,0.55,little,147,middle,0,1,0,sales,low
0.46,0.57,little,139,middle,0,1,0,sales,low
0.4,0.53,little,158,middle,0,1,0,sales,low
0.89,0.92,many,242,long,0,1,0,sales,low
0.41,0.46,little,128,middle,0,1,0,accounting,low
0.45,0.57,little,134,middle,0,1,0,hr,low
0.4,0.51,little,145,middle,0,1,0,hr,low
0.41,0.54,little,152,middle,0,1,0,technical,low
0.45,0.48,little,158,middle,0,1,0,technical,low
0.1,0.8,many,281,long,0,1,0,technical,low
0.4,0.55,little,147,middle,0,1,0,support,low
0.4,0.54,little,148,middle,0,1,0,support,low
0.13,0.78,many,152,short,0,1,0,support,low
0.44,0.55,little,135,middle,0,1,0,support,low
0.11,0.94,many,255,long,0,1,0,support,low
0.1,0.81,many,309,long,0,1,0,technical,low
0.38,0.54,little,128,middle,0,1,0,technical,low
0.11,0.94,many,286,long,0,1,0,IT,medium
0.9,0.98,many,264,long,0,1,0,product_mng,medium
0.43,0.5,little,135,middle,0,1,0,product_mng,medium
0.1,0.83,many,295,long,0,1,0,product_mng,medium
0.4,0.54,little,137,middle,0,1,0,marketing,medium
0.38,0.49,little,151,middle,0,1,0,technical,low
0.11,0.87,many,305,long,0,1,0,marketing,low
0.37,0.57,little,130,middle,0,1,0,sales,low
0.1,0.79,many,291,long,0,1,0,sales,low
0.42,0.48,little,143,middle,0,1,0,sales,low
0.42,0.46,little,150,middle,0,1,0,sales,medium
0.09,0.94,many,267,long,0,1,0,sales,medium
0.44,0.5,little,148,middle,0,1,0,accounting,medium
0.71,0.87,middle,177,long,0,1,0,hr,medium
0.4,0.49,little,155,middle,0,1,0,hr,medium
0.09,0.85,many,289,long,0,1,0,hr,high
0.9,0.96,many,258,long,0,1,0,technical,medium
0.84,1,many,234,long,0,1,0,technical,medium
0.4,0.46,little,135,middle,0,1,0,technical,low
0.75,1,many,216,long,0,1,0,technical,low
0.46,0.49,little,138,middle,0,1,0,support,low
0.38,0.49,little,132,middle,0,1,0,support,low
0.09,0.82,many,250,long,0,1,0,support,low
0.1,0.83,many,292,long,0,1,0,support,low
0.36,0.5,little,132,middle,0,1,0,technical,low
0.1,0.84,many,283,long,1,1,0,technical,low
0.11,0.8,many,256,long,0,1,0,IT,low
0.37,0.47,little,152,middle,0,1,0,product_mng,low
0.84,0.88,many,263,long,1,1,0,marketing,low
0.4,0.52,little,155,middle,0,1,0,marketing,low
0.11,0.8,many,304,long,0,1,0,accounting,low
0.9,0.98,many,243,long,0,1,0,marketing,low
0.81,0.99,many,259,long,0,1,0,sales,low
0.11,0.78,many,278,long,0,1,0,sales,low
0.7,0.53,little,274,long,0,1,0,sales,low
0.4,0.46,little,127,middle,0,1,0,hr,medium
0.4,0.46,little,143,middle,0,1,0,hr,medium
0.09,0.8,many,283,long,0,1,0,technical,low
0.92,0.87,many,226,long,1,1,0,technical,medium
0.89,0.95,many,275,long,0,1,0,technical,medium
0.1,0.91,many,287,long,0,1,0,technical,low
0.76,1,many,219,long,0,1,0,support,low
0.1,0.93,many,256,long,0,1,0,support,low
0.78,0.87,many,228,long,0,1,0,support,low
0.38,0.52,little,153,middle,0,1,0,support,low
0.36,0.48,little,158,middle,0,1,0,IT,low
0.9,0.98,many,245,long,0,1,0,IT,low
